"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 06/12/2020 15:32:36",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave generico","Generico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","001","CUOTA FIJA POR 17 M3, PAGO MENSUAL","246.36","1","CUOTA",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","002","CUOTA FIJA POR 33 M3, PAGO MENSUAL","566.39","1","CUOTA",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","003","CUOTA FIJA POR 49 M3, PAGO MENSUAL","886.94","1","CUOTA",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","004","CUOTA FIJA POR 55 M3, PAGO MENSUAL","1007.14","1","CUOTA",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","005","CUOTA FIJA POR 66 M3, PAGO MENSUAL","1250.49","1","CUOTA",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","006","CUOTA FIJA POR 79 M3, PAGO MENSUAL","1553.6","1","CUOTA",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","007","CUOTA FIJA POR 80 M3, PAGO MENSUAL","1576.92","1","CUOTA",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","008","CUOTA FIJA POR 90 M3, PAGO MENSUAL","1810.08","1","CUOTA",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","009","CUOTA FIJA POR 102 M3, PAGO MENSUAL","2106.71","1","CUOTA",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","001","CUOTA FIJA POR 17 M3, PAGO MENSUAL","246.36","1","CUOTA",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","002","CUOTA FIJA POR 33 M3, PAGO MENSUAL","566.39","1","CUOTA",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","003","CUOTA FIJA POR 49 M3, PAGO MENSUAL","886.94","1","CUOTA",""
