"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 06/12/2020 15:42:02",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave generico","Generico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","001","TARIFA DE 24 Y 25 M3, SERVICIO MENSUAL","343.97","1","COSTO/",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","002","TARIFA DE 39 Y 40 M3, SERVICIO MENSUAL","793.38","1","CUOTA",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","003","TARIFA DE 54 Y 55 M3, SERVICIO MENSUAL","1351.64","1","CUOTA",""
"2020","09","23/10/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","001","TARIFA DE 24 Y 25 M3, SERVICIO MENSUAL","342.52","1","COSTO/",""
"2020","09","23/10/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","002","TARIFA DE 39 Y 40 M3, SERVICIO MENSUAL","790.05","1","CUOTA",""
"2020","09","23/10/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","003","TARIFA DE 54 Y 55 M3, SERVICIO MENSUAL","1345.95","1","CUOTA",""
"2020","08","29/09/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","001","TARIFA DE 24 Y 25 M3, SERVICIO MENSUAL","342.23","1","COSTO/",""
"2020","08","29/09/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","002","TARIFA DE 39 Y 40 M3, SERVICIO MENSUAL","789.34","1","CUOTA",""
"2020","08","29/09/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","003","TARIFA DE 54 Y 55 M3, SERVICIO MENSUAL","1344.76","1","CUOTA",""
"2020","07","21/08/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","001","TARIFA DE 24 Y 25 M3, SERVICIO MENSUAL","341.66","1","COSTO/",""
"2020","07","21/08/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","002","TARIFA DE 39 Y 40 M3, SERVICIO MENSUAL","788.05","1","CUOTA",""
"2020","07","21/08/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","003","TARIFA DE 54 Y 55 M3, SERVICIO MENSUAL","1342.57","1","CUOTA",""
"2020","06","20/07/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","001","TARIFA DE 24 Y 25 M3, SERVICIO MENSUAL","340.94","1","COSTO/",""
"2020","06","20/07/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","002","TARIFA DE 39 Y 40 M3, SERVICIO MENSUAL","786.37","1","CUOTA",""
"2020","06","20/07/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","003","TARIFA DE 54 Y 55 M3, SERVICIO MENSUAL","1339.71","1","CUOTA",""
"2020","05","22/06/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","001","TARIFA DE 24 Y 25 M3, SERVICIO MENSUAL","337.2","1","COSTO/",""
"2020","05","22/06/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","42 Vivienda propia","141","Derechos por el suministro de agua","002","TARIFA DE 39 Y 40 M3, SERVICIO MENSUAL","777.75","1","CUOTA",""
