"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 06/12/2020 14:02:27",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave generico","Generico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","001","PRECIO POR KG","17.31","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","002","PRECIO POR LT","9.35","1","LT",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","003","PRECIO POR LT","9.35","1","LT",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","004","PRECIO POR LT","9.81","1","LT",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","005","PRECIO POR KG","18.16","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","006","PRECIO POR KG","18.15","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","007","PRECIO POR KG","17.31","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","008","PRECIO POR LT","9.8","1","LT",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","009","PRECIO POR KG","18.22","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","010","PRECIO POR LT","9.99","1","LT",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","011","PRECIO POR KG","17.31","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","012","PRECIO POR LT","9.35","1","LT",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","013","PRECIO POR KG","18.35","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","014","PRECIO POR LT","9.91","1","LT",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","001","PRECIO POR KG","17.31","1","KG",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","002","PRECIO POR LT","9.35","1","LT",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","003","PRECIO POR LT","9.35","1","LT",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","004","PRECIO POR LT","9.55","1","LT",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","005","PRECIO POR KG","17.68","1","KG",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","006","PRECIO POR KG","17.22","1","KG",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","007","PRECIO POR KG","17.31","1","KG",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","008","PRECIO POR LT","9.3","1","LT",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","009","PRECIO POR KG","17.97","1","KG",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","010","PRECIO POR LT","9.99","1","LT",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","011","PRECIO POR KG","17.31","1","KG",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","012","PRECIO POR LT","9.35","1","LT",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","013","PRECIO POR KG","17.58","1","KG",""
"2020","09","23/10/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","014","PRECIO POR LT","9.49","1","LT",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","001","PRECIO POR KG","17.31","1","KG",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","002","PRECIO POR LT","9.35","1","LT",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","003","PRECIO POR LT","9.35","1","LT",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","004","PRECIO POR LT","9.72","1","LT",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","005","PRECIO POR KG","18","1","KG",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","006","PRECIO POR KG","18.15","1","KG",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","007","PRECIO POR KG","17.31","1","KG",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","008","PRECIO POR LT","9.8","1","LT",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","009","PRECIO POR KG","17.89","1","KG",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","010","PRECIO POR LT","9.99","1","LT",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","011","PRECIO POR KG","17.31","1","KG",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","012","PRECIO POR LT","9.35","1","LT",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","013","PRECIO POR KG","18","1","KG",""
"2020","08","29/09/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","014","PRECIO POR LT","9.72","1","LT",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","001","PRECIO POR KG","17.33","1","KG",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","002","PRECIO POR LT","9.35","1","LT",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","003","PRECIO POR LT","9.35","1","LT",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","004","PRECIO POR LT","9.59","1","LT",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","005","PRECIO POR KG","17.75","1","KG",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","006","PRECIO POR KG","17.98","1","KG",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","007","PRECIO POR KG","17.31","1","KG",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","008","PRECIO POR LT","9.71","1","LT",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","009","PRECIO POR KG","17.63","1","KG",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","010","PRECIO POR LT","9.99","1","LT",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","011","PRECIO POR KG","17.31","1","KG",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","012","PRECIO POR LT","9.35","1","LT",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","013","PRECIO POR KG","17.75","1","KG",""
"2020","07","21/08/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","014","PRECIO POR LT","9.59","1","LT",""
"2020","06","20/07/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","001","PRECIO POR KG","17.33","1","KG",""
"2020","06","20/07/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","002","PRECIO POR LT","9.35","1","LT",""
"2020","06","20/07/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","003","PRECIO POR LT","9.35","1","LT",""
"2020","06","20/07/2020 12:00:00 a. m.","04","Guadalajara, Jal.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","004","PRECIO POR LT","9.43","1","LT",""
