"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 06/12/2020 14:09:34",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave generico","Generico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","001","PRECIO POR KG","17.6","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","002","PRECIO POR LT","9.1","1","LT",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","003","PRECIO POR LT","9.53","1","LT",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","004","PRECIO POR KG","16.34","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","005","PRECIO POR KG","16.94","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","006","PRECIO POR KG","19.13","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","007","PRECIO POR LT","8.65","1","LT",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","008","PRECIO POR LT","9.1","1","LT",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","009","PRECIO POR LT","9.49","1","LT",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","010","PRECIO POR KG","16.85","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","011","PRECIO POR KG","16.85","1","KG",""
"2020","10","24/11/2020 12:00:00 a. m.","05","Monterrey, N.L.","3. Vivienda","3.2. Electricidad y combustibles","3.2.1. Electricidad y combustibles","44 Gas doméstico","144","Gas doméstico LP","012","PRECIO POR LT","9.15","1","LT",""
